order_detail_id,order_id,product_id,quantity
311,O00849,P027,2
312,O02652,P015,3
313,O02218,P011,2
314,O02197,P027,7
315,O00378,P005,2
316,O02135,P021,5
317,O04762,P021,2
318,O00555,P024,4
319,O00539,P010,1
320,O01942,P026,8
321,O02710,P014,1
322,O01099,P010,4
323,O01973,P011,3
324,O00613,P010,9
325,O02917,P003,1
326,O03274,P002,9
327,O02429,P012,8
328,O02084,P009,2
329,O02530,P023,4
330,O01168,P008,1
331,O03117,P010,9
332,O03657,P017,5
333,O01064,P007,2
334,O00682,P023,6
335,O04342,P003,9
336,O01929,P010,6
337,O01939,P014,6
338,O04499,P011,7
339,O02766,P014,3
340,O01106,P026,9
341,O03415,P026,9
342,O03580,P016,3
343,O01480,P004,2
344,O04184,P011,3
345,O03699,P004,10
346,O01734,P029,5
347,O03500,P024,9
348,O01914,P025,4
349,O01628,P011,1
350,O02505,P013,1
351,O01181,P018,8
352,O01992,P019,9
353,O03258,P025,3
354,O01717,P004,1
355,O00075,P010,3
356,O02644,P021,3
357,O04076,P004,6
358,O03365,P027,4
359,O04499,P003,1
360,O04056,P003,1
361,O04378,P016,2
362,O01902,P001,3
363,O00005,P027,8
364,O03049,P020,5
365,O02172,P030,5
366,O03820,P011,3
367,O04226,P020,8
368,O01898,P016,7
369,O04263,P009,2
370,O02552,P019,7
371,O04053,P021,6
372,O04018,P001,5
373,O01005,P026,4
374,O04067,P023,3
375,O00028,P008,10
376,O04698,P012,4
377,O02065,P023,10
378,O03926,P026,1
379,O00546,P011,6
380,O04563,P001,9
381,O01191,P018,10
382,O02208,P024,8
383,O03791,P011,6
384,O04843,P008,2
385,O00741,P006,9
386,O04933,P022,1
387,O03362,P017,5
388,O03916,P030,3
389,O01324,P002,4
390,O02988,P007,9
391,O00220,P028,4
392,O02505,P004,10
393,O03335,P016,8
394,O01622,P006,10
395,O00923,P029,8
396,O04482,P029,8
397,O01679,P005,4
398,O01140,P018,1
399,O02213,P005,4
400,O03522,P025,2
401,O04796,P003,4
402,O02337,P001,5
403,O03878,P013,2
404,O02147,P022,3
405,O02306,P010,4
406,O03516,P013,3
407,O03947,P003,9
408,O01336,P013,7
409,O04190,P027,7
410,O03282,P009,6
411,O03777,P026,4
412,O02518,P015,10
413,O01306,P006,8
414,O03401,P017,1
415,O02733,P030,2
416,O00495,P003,8
417,O04615,P017,1
418,O03612,P028,1
419,O01000,P004,4
420,O02126,P016,8
421,O03465,P022,9
422,O02092,P027,6
423,O04902,P009,5
424,O02858,P021,9
425,O00883,P023,3
426,O02398,P005,5
427,O01482,P018,6
428,O00776,P008,6
429,O02675,P028,3
430,O02235,P007,8
431,O03541,P014,2
432,O04112,P028,10
433,O01746,P021,3
434,O01770,P023,2
435,O04766,P005,2
436,O02111,P026,3
437,O00674,P019,10
438,O04852,P001,10
439,O00867,P012,7
440,O03845,P026,5
441,O04354,P021,9
442,O03789,P020,5
443,O04550,P027,6
444,O03511,P026,4
445,O00266,P002,4
446,O03094,P010,2
447,O01035,P019,5
448,O02116,P010,10
449,O02165,P022,4
450,O04455,P024,3
451,O00489,P015,9
452,O00019,P028,8
453,O00653,P009,2
454,O00589,P014,8
455,O00722,P023,2
456,O01104,P010,5
457,O04275,P029,7
458,O00731,P004,7
459,O01808,P021,8
460,O03595,P015,5
461,O03811,P030,6
462,O03503,P006,4
463,O01973,P029,6
464,O03838,P007,5
465,O02673,P018,5
466,O01517,P019,7
467,O02290,P023,5
468,O01948,P011,9
469,O01652,P014,8
470,O01172,P006,5
471,O04606,P028,6
472,O04489,P006,3
473,O00655,P005,6
474,O03538,P015,4
475,O04241,P020,1
476,O02717,P015,8
477,O04623,P014,9
478,O04095,P028,1
479,O03755,P030,8
480,O02099,P004,3
481,O03439,P018,4
482,O04532,P028,8
483,O01312,P017,5
484,O03454,P021,7
485,O00450,P009,1
486,O00708,P018,9
487,O00035,P011,6
488,O04003,P029,2
489,O00771,P005,8
490,O04368,P002,3
491,O01592,P030,6
492,O02459,P003,9
493,O00590,P018,9
494,O00598,P029,7
495,O04994,P030,1
496,O00651,P027,6
497,O02058,P029,4
498,O00307,P019,8
499,O02070,P003,4
500,O03104,P013,4
501,O00436,P021,5
502,O03224,P012,10
503,O04391,P014,3
504,O03007,P018,7
505,O04354,P008,9
506,O02282,P005,6
507,O00092,P015,10
508,O04636,P020,9
509,O01977,P014,6
510,O01809,P018,4
511,O01215,P017,8
512,O03013,P014,3
513,O02240,P006,8
514,O03805,P030,10
515,O00872,P024,6
516,O01424,P029,2
517,O01542,P019,9
518,O00528,P011,4
519,O03802,P009,8
520,O04624,P016,8
521,O02483,P030,4
522,O01571,P009,5
523,O00937,P015,7
524,O04833,P022,3
525,O04853,P002,4
526,O03062,P018,10
527,O01469,P001,3
528,O03649,P017,6
529,O00167,P009,4
530,O02520,P017,6
531,O04024,P007,7
532,O00560,P015,5
533,O02481,P021,4
534,O03457,P009,4
535,O02865,P008,5
536,O00984,P030,7
537,O01276,P020,5
538,O04664,P030,7
539,O01348,P029,5
540,O04427,P003,2
541,O03450,P030,2
542,O02389,P021,8
543,O04266,P004,9
544,O01934,P004,7
545,O03325,P014,1
546,O02368,P002,8
547,O04342,P006,6
548,O01689,P008,7
549,O00572,P021,7
550,O04107,P008,10
551,O01334,P002,3
552,O02455,P020,9
553,O04778,P012,3
554,O04247,P002,5
555,O01534,P024,8
556,O04978,P004,3
557,O04827,P003,2
558,O04726,P024,5
559,O01082,P001,5
560,O04081,P010,7
561,O04310,P017,5
562,O00587,P004,3
563,O04853,P016,7
564,O00148,P015,9
565,O00639,P021,10
566,O01755,P026,7
567,O03835,P006,10
568,O03766,P017,9
569,O00916,P023,4
570,O02935,P014,4
571,O03886,P030,10
572,O01431,P005,7
573,O00741,P023,3
574,O00352,P018,2
575,O03980,P020,1
576,O04760,P021,4
577,O03365,P027,1
578,O02627,P025,4
579,O03028,P029,8
580,O01353,P004,6
581,O04589,P016,1
582,O01645,P003,8
583,O03255,P017,10
584,O00485,P029,10
585,O02498,P006,1
586,O00444,P014,2
587,O04215,P010,8
588,O02011,P005,2
589,O00903,P030,10
590,O02358,P005,5
591,O01780,P008,7
592,O02084,P017,5
593,O00256,P009,5
594,O00166,P011,3
595,O02965,P009,1
596,O01707,P011,10
597,O02138,P013,4
598,O00643,P007,8
599,O03148,P025,1
600,O00869,P005,6
601,O02533,P003,2
602,O04596,P027,8
603,O03833,P012,8
604,O01714,P006,7
605,O01292,P012,10
606,O01956,P003,6
607,O01479,P003,9
608,O04074,P006,3
609,O04407,P004,8
610,O03917,P006,10
611,O04950,P022,6
612,O03645,P010,8
613,O00655,P026,4
614,O04667,P009,5
615,O00641,P029,2
616,O00276,P011,4
617,O04947,P027,10
618,O04069,P001,10
619,O04675,P021,5
620,O03187,P007,2
621,O03182,P025,3
622,O03361,P023,3
623,O01864,P011,10
624,O04043,P003,7
625,O01447,P025,4
626,O03827,P022,8
627,O01278,P012,1
628,O02149,P015,2
629,O02684,P030,7
630,O03604,P028,8
631,O02144,P023,4
632,O02862,P007,4
633,O04351,P025,9
634,O02776,P025,5
635,O00476,P024,6
636,O03088,P026,3
637,O04333,P001,10
638,O03702,P030,4
639,O02839,P020,7
640,O02797,P022,3
641,O04674,P007,8
642,O03986,P026,2
643,O02897,P030,10
644,O00424,P020,4
645,O03390,P001,3
646,O01513,P011,5
647,O01676,P009,7
648,O02620,P022,7
649,O02810,P005,10
650,O04352,P022,2
651,O02250,P013,3
652,O01123,P020,1
653,O02900,P016,10
654,O03017,P029,6
655,O00641,P004,6
656,O03170,P018,9
657,O02370,P026,9
658,O03764,P007,10
659,O00231,P027,8
660,O01315,P028,10
661,O00833,P027,4
662,O03846,P027,5
663,O00901,P027,6
664,O04555,P002,3
665,O01823,P025,5
666,O02790,P005,8
667,O04373,P018,10
668,O01647,P001,9
669,O03077,P003,9
670,O04053,P004,2
671,O00471,P011,3
672,O01604,P008,1
673,O04163,P013,9
674,O03438,P027,5
675,O03511,P030,9
676,O01095,P008,3
677,O00218,P009,9
678,O02456,P006,2
679,O02003,P019,10
680,O02112,P004,10
681,O03028,P028,1
682,O03574,P011,8
683,O00246,P005,4
684,O02375,P002,9
685,O04589,P030,4
686,O02470,P011,4
687,O02417,P019,1
688,O04352,P015,10
689,O00455,P003,9
690,O03709,P001,8
691,O04419,P030,5
692,O04608,P015,2
693,O03018,P015,2
694,O00156,P026,10
695,O01786,P015,9
696,O02885,P020,10
697,O04326,P002,1
698,O02661,P022,9
699,O01094,P016,4
700,O00010,P022,2
701,O01199,P022,1
702,O02283,P023,6
703,O03404,P029,1
704,O02719,P013,9
705,O01175,P004,6
706,O02734,P023,8
707,O03103,P004,4
708,O00679,P018,4
709,O04578,P029,9
710,O04449,P019,4
711,O03429,P014,7
712,O04874,P011,7
713,O01006,P022,1
714,O02349,P028,7
715,O00265,P004,1
716,O02705,P001,9
717,O01445,P009,2
718,O03369,P011,9
719,O00635,P004,7
720,O02665,P030,9
721,O00968,P016,8
722,O04118,P009,9
723,O00444,P010,8
724,O00765,P001,3
725,O00366,P018,2
726,O00533,P026,9
727,O04544,P019,1
728,O03006,P011,3
729,O02204,P021,5
730,O01101,P012,5
731,O04420,P007,10
732,O02293,P008,2
733,O00687,P022,2
734,O03819,P004,6
735,O03396,P006,5
736,O01104,P004,10
737,O00782,P015,8
738,O01019,P011,2
739,O00850,P026,6
740,O04324,P005,4
741,O00885,P018,5
742,O00963,P002,8
743,O01692,P019,5
744,O01162,P002,5
745,O03356,P006,5
746,O04871,P003,7
747,O01389,P003,6
748,O04438,P015,9
749,O02294,P007,7
750,O03876,P007,6
751,O02721,P013,10
752,O02498,P030,1
753,O04769,P007,9
754,O00469,P023,8
755,O01854,P005,8
756,O01477,P024,9
757,O02229,P025,2
758,O03570,P001,10
759,O02596,P029,3
760,O02480,P001,4
761,O01840,P026,9
762,O04175,P016,10
763,O03908,P027,5
764,O01877,P004,4
765,O02463,P012,10
766,O01586,P017,2
767,O01497,P022,1
768,O04902,P027,7
769,O01396,P012,8
770,O00706,P028,6
771,O04370,P014,7
772,O03882,P012,5
773,O00648,P023,3
774,O02312,P012,5
775,O02466,P009,3
776,O03674,P009,7
777,O02571,P022,3
778,O01815,P025,7
779,O03178,P020,9
780,O02316,P012,5
781,O00589,P009,8
782,O02788,P008,5
783,O03826,P023,1
784,O04774,P019,6
785,O02720,P021,4
786,O01902,P002,3
787,O03050,P009,5
788,O00498,P026,2
789,O00279,P010,9
790,O00808,P009,5
791,O04810,P021,4
792,O01034,P002,5
793,O03483,P026,1
794,O03980,P014,9
795,O00458,P013,4
796,O03929,P029,9
797,O00192,P009,3
798,O03145,P014,7
799,O04897,P015,1
800,O02076,P020,1
801,O04218,P010,1
802,O00642,P016,1
803,O04757,P019,9
804,O04504,P003,9
805,O00582,P029,5
806,O02495,P030,9
807,O00639,P006,4
808,O00157,P013,10
809,O01898,P029,3
810,O04505,P028,7
811,O04233,P001,10
812,O00789,P027,10
813,O00302,P014,2
814,O02209,P029,8
815,O04124,P010,6
816,O01891,P005,7
817,O04271,P025,8
818,O01381,P025,7
819,O00406,P004,7
820,O01010,P001,2
821,O00965,P029,10
822,O00819,P023,3
823,O01230,P001,10
824,O00557,P020,5
825,O04946,P001,10
826,O04057,P021,6
827,O00182,P018,7
828,O03781,P020,5
829,O00243,P012,10
830,O02215,P007,9
831,O01992,P028,3
832,O00453,P005,6
833,O00396,P008,4
834,O03665,P010,1
835,O02516,P027,7
836,O02270,P030,1
837,O04961,P025,5
838,O03017,P025,6
839,O01872,P025,1
840,O04834,P017,2
841,O04359,P007,7
842,O04046,P025,8
843,O01064,P028,3
844,O02104,P015,7
845,O03523,P011,8
846,O03171,P022,5
847,O01589,P028,7
848,O02478,P017,2
849,O04695,P002,7
850,O02112,P023,2
851,O00362,P030,2
852,O01811,P027,4
853,O00558,P015,7
854,O00445,P013,5
855,O01872,P008,2
856,O02962,P016,1
857,O04042,P030,6
858,O00584,P019,5
859,O00834,P019,10
860,O00707,P001,7
861,O04225,P002,9
862,O01315,P026,5
863,O02910,P006,9
864,O00343,P018,7
865,O04610,P021,8
866,O02044,P018,9
867,O03549,P026,8
868,O02342,P005,10
869,O04466,P019,5
870,O02661,P029,4
871,O00588,P005,2
872,O04899,P026,5
873,O01218,P014,9
874,O01273,P021,10
875,O03614,P009,10
876,O02622,P018,10
877,O02891,P015,8
878,O02842,P013,7
879,O01728,P023,2
880,O03033,P023,7
881,O00329,P013,10
882,O01518,P012,1
883,O02809,P002,6
884,O02486,P015,6
885,O02426,P010,9
886,O00929,P013,6
887,O00521,P013,1
888,O00637,P021,4
889,O00960,P026,7
890,O01360,P013,2
891,O02267,P029,7
892,O00065,P021,7
893,O03030,P013,5
894,O03763,P002,2
895,O02333,P021,2
896,O03163,P022,8
897,O00183,P020,5
898,O03898,P014,7
899,O03260,P002,5
900,O04492,P005,8
901,O04653,P014,3
902,O04680,P006,1
903,O04638,P028,8
904,O03560,P001,9
905,O00623,P018,3
906,O02817,P023,3
907,O00385,P024,6
908,O03238,P029,10
909,O02428,P008,4
910,O00274,P029,7
911,O04261,P021,9
912,O04436,P007,1
913,O01444,P024,3
914,O01856,P015,4
915,O03838,P029,9
916,O01522,P024,7
917,O00182,P016,3
918,O02726,P009,6
919,O00531,P017,4
920,O03273,P025,10
921,O04817,P005,4
922,O01090,P012,4
923,O04342,P008,5
924,O04823,P028,5
925,O03246,P023,4
926,O03145,P021,9
927,O00046,P029,6
928,O03482,P026,6
929,O02577,P016,4
930,O01137,P011,1
931,O02321,P013,9
932,O04465,P028,3
933,O03059,P001,7
934,O03597,P008,7
935,O01382,P030,4
936,O04293,P012,9
937,O04782,P023,7
938,O00154,P012,10
939,O04225,P016,1
940,O00928,P014,9
941,O02623,P023,3
942,O02667,P027,1
943,O02087,P008,3
944,O04477,P012,5
945,O01503,P017,5
946,O00969,P030,10
947,O03945,P018,9
948,O01681,P014,10
949,O02118,P015,10
950,O04235,P026,4
951,O01636,P027,7
952,O02112,P026,5
953,O03703,P007,8
954,O00095,P026,9
955,O03817,P014,8
956,O02293,P016,5
957,O03719,P027,3
958,O04260,P020,3
959,O01043,P023,2
960,O00256,P017,7
961,O02249,P015,6
962,O04026,P015,5
963,O02047,P030,7
964,O00551,P024,6
965,O04836,P010,2
966,O00400,P016,5
967,O01100,P006,9
968,O01056,P017,6
969,O03728,P014,9
970,O00906,P012,7
971,O02411,P012,8
972,O00264,P022,8
973,O00677,P027,6
974,O01897,P013,9
975,O02201,P019,8
976,O01027,P021,4
977,O04391,P015,9
978,O03542,P002,6
979,O03897,P024,5
980,O02339,P014,3
981,O02781,P009,10
982,O00046,P005,10
983,O00344,P011,3
984,O04718,P009,7
985,O04388,P013,1
986,O00160,P025,3
987,O02102,P030,7
988,O03329,P029,8
989,O02708,P010,9
990,O03942,P022,6
991,O04234,P019,6
992,O01667,P025,2
993,O04381,P003,2
994,O01384,P021,4
995,O03168,P003,7
996,O01523,P028,9
997,O04429,P030,10
998,O02038,P014,10
999,O01075,P006,2
1000,O02480,P009,10
1001,O02833,P029,3
1002,O02280,P020,9
1003,O04187,P020,9
1004,O02727,P025,4
1005,O01025,P006,6
1006,O00840,P025,4
1007,O04614,P028,9
1008,O03925,P020,6
1009,O02949,P010,4
1010,O04509,P025,2
1011,O01488,P009,4
1012,O02059,P006,10
1013,O02732,P011,3
1014,O04867,P002,8
1015,O04382,P030,9
1016,O01865,P018,3
1017,O02383,P023,10
1018,O03617,P019,8
1019,O03056,P016,8
1020,O03702,P027,3
1021,O02695,P016,5
1022,O04937,P027,7
1023,O04046,P019,9
1024,O01734,P006,4
1025,O00392,P026,2
1026,O02297,P022,9
1027,O01237,P014,4
1028,O03473,P021,5
1029,O00920,P015,1
1030,O00055,P015,3
1031,O02681,P023,2
1032,O03278,P025,2
1033,O04710,P024,7
1034,O01940,P004,8
1035,O01013,P012,1
1036,O00177,P028,2
1037,O03183,P025,2
1038,O03693,P005,2
1039,O01883,P008,8
1040,O02507,P029,3
1041,O01728,P005,6
1042,O04733,P010,9
1043,O01354,P027,6
1044,O02662,P019,10
1045,O04937,P012,10
1046,O04154,P003,6
1047,O04507,P023,10
1048,O02250,P010,6
1049,O02537,P025,10
1050,O02555,P006,5
1051,O01061,P022,5
1052,O02411,P025,1
1053,O01455,P024,2
1054,O03234,P002,2
1055,O02735,P011,1
1056,O01492,P001,4
1057,O02265,P005,4
1058,O02364,P008,5
1059,O02242,P008,4
1060,O00023,P013,9
1061,O03046,P026,6
1062,O03747,P005,7
1063,O01805,P023,9
1064,O00402,P028,2
1065,O03614,P025,8
1066,O01935,P007,7
1067,O03757,P005,2
1068,O00037,P009,1
1069,O00506,P014,7
1070,O04033,P024,3
1071,O04862,P006,10
1072,O04573,P025,4
1073,O02712,P013,2
1074,O00411,P024,4
1075,O02996,P005,6
1076,O02717,P003,5
1077,O01196,P003,8
1078,O03435,P004,6
1079,O00218,P015,4
1080,O02215,P028,1
1081,O02457,P014,10
1082,O00668,P014,6
1083,O00587,P011,1
1084,O01390,P004,2
1085,O00611,P024,8
1086,O04456,P014,2
1087,O04461,P002,2
1088,O02116,P015,3
1089,O00715,P014,8
1090,O00672,P013,6
1091,O04344,P027,5
1092,O02396,P001,6
1093,O02131,P006,8
1094,O04809,P022,9
1095,O04124,P022,4
1096,O00421,P025,8
1097,O03351,P003,10
1098,O02925,P009,7
1099,O00070,P027,2
1100,O04569,P022,4
1101,O03422,P020,1
1102,O03117,P009,2
1103,O00107,P001,9
1104,O00168,P009,9
1105,O01374,P025,9
1106,O00646,P010,8
1107,O02124,P028,8
1108,O03563,P003,5
1109,O04260,P022,3
1110,O03631,P003,2
1111,O02769,P016,7
1112,O02914,P011,8
1113,O02848,P026,9
1114,O02418,P027,2
1115,O00294,P017,6
1116,O04340,P014,4
1117,O04941,P006,1
1118,O01971,P029,6
1119,O01867,P008,3
1120,O00510,P022,2
1121,O03016,P016,2
1122,O04787,P025,7
1123,O04502,P004,4
1124,O04338,P003,6
1125,O01828,P005,6
1126,O01813,P016,1
1127,O01388,P015,8
1128,O04557,P009,2
1129,O02037,P001,2
1130,O01848,P009,6
1131,O03741,P022,6
1132,O01868,P028,6
1133,O01193,P009,8
1134,O03586,P030,9
1135,O00891,P003,8
1136,O04370,P015,9
1137,O04829,P016,7
1138,O04111,P018,1
1139,O01882,P008,4
1140,O03292,P020,3
1141,O01145,P024,10
1142,O00856,P005,5
1143,O01598,P015,10
1144,O04174,P002,5
1145,O04400,P024,3
1146,O03946,P025,8
1147,O00584,P023,8
1148,O03318,P017,3
1149,O04334,P004,1
1150,O00236,P005,7
1151,O00945,P027,10
1152,O04539,P026,1
1153,O02055,P023,3
1154,O01408,P027,3
1155,O01072,P028,6
1156,O03348,P027,5
1157,O00730,P004,10
1158,O00844,P007,4
1159,O01418,P007,3
1160,O04005,P003,2
1161,O01138,P027,4
1162,O02216,P009,3
1163,O00963,P024,7
1164,O02835,P021,6
1165,O01049,P005,5
1166,O04239,P030,10
1167,O03931,P008,10
1168,O04802,P006,6
1169,O01572,P026,7
1170,O04015,P025,6
1171,O04701,P006,2
1172,O04724,P008,1
1173,O01693,P027,7
1174,O02912,P007,1
1175,O00247,P009,9
1176,O02622,P025,7
1177,O02465,P007,10
1178,O03889,P015,7
1179,O00020,P010,6
1180,O02474,P006,4
1181,O04485,P026,9
1182,O02959,P009,10
1183,O01557,P002,5
1184,O02214,P020,7
1185,O03659,P025,4
1186,O00384,P025,4
1187,O02333,P007,4
1188,O01309,P030,8
1189,O04764,P003,6
1190,O00138,P008,3
1191,O02792,P003,6
1192,O00531,P015,9
1193,O02959,P001,8
1194,O02430,P014,10
1195,O02869,P017,2
1196,O00409,P009,2
1197,O00657,P023,9
1198,O01853,P022,6
1199,O04059,P027,9
1200,O03030,P030,6
1201,O00668,P026,9
1202,O04256,P008,9
1203,O01890,P003,7
1204,O02215,P025,3
1205,O03816,P008,7
1206,O02527,P004,2
1207,O03797,P018,3
1208,O01241,P007,9
1209,O00760,P025,3
1210,O01242,P023,4
1211,O02997,P017,7
1212,O01331,P013,2
1213,O01349,P013,9
1214,O04635,P006,7
1215,O01374,P019,2
1216,O03751,P002,1
1217,O01938,P024,5
1218,O02898,P014,5
1219,O04763,P018,10
1220,O04245,P026,8
1221,O03858,P020,8
1222,O01594,P021,3
1223,O01360,P028,3
1224,O00126,P011,4
1225,O01319,P018,1
1226,O01377,P013,1
1227,O00499,P030,4
1228,O04055,P014,8
1229,O04111,P002,9
1230,O02990,P010,4
1231,O03313,P016,8
1232,O03177,P012,6
1233,O02153,P011,6
1234,O01322,P010,2
1235,O00829,P025,5
1236,O01010,P030,1
1237,O03198,P009,1
1238,O01795,P009,8
1239,O01031,P019,7
1240,O00986,P021,9
1241,O01827,P011,2
1242,O04579,P009,6
1243,O03823,P025,8
1244,O02265,P010,1
1245,O03771,P019,7
1246,O01553,P006,7
