order_id,order_date,customer_id,payment_method
O00227,20/01/2024,C0719,Cash
O00228,08/06/2024,C1420,Mobile Banking
O00229,18/11/2024,C1443,Card
O00230,06/12/2024,C0823,Cash
O00231,19/08/2024,C1327,Card
O00232,29/02/2024,C1278,Cash
O00233,08/08/2024,C1047,Cash
O00234,25/03/2024,C0786,Mobile Banking
O00235,17/06/2024,C0519,Mobile Banking
O00236,30/06/2024,C1186,Mobile Banking
O00237,13/12/2024,C0495,Cash
O00238,26/06/2024,C1372,Cash
O00239,26/12/2024,C0348,Cash
O00240,08/07/2024,C0337,Cash
O00241,17/05/2024,C0147,Card
O00242,29/04/2024,C0777,Card
O00243,03/08/2024,C0267,Cash
O00244,20/09/2024,C0284,Cash
O00245,12/11/2024,C0736,Cash
O00246,09/11/2024,C0289,Cash
O00247,27/04/2024,C0743,Mobile Banking
O00248,29/05/2024,C0621,Mobile Banking
O00249,18/03/2024,C0997,Cash
O00250,25/03/2024,C1044,Card
O00251,06/11/2024,C1466,Mobile Banking
O00252,27/01/2024,C1001,Mobile Banking
O00253,12/11/2024,C0045,Mobile Banking
O00254,24/08/2024,C1449,Mobile Banking
O00255,26/11/2024,C0984,Mobile Banking
O00256,01/11/2024,C0431,Cash
O00257,05/10/2024,C1179,Mobile Banking
O00258,09/09/2024,C1449,Card
O00259,08/02/2024,C0295,Mobile Banking
O00260,02/09/2024,C0208,Mobile Banking
O00261,03/04/2024,C0283,Mobile Banking
O00262,27/03/2024,C0423,Mobile Banking
O00263,11/01/2024,C0507,Cash
O00264,20/09/2024,C0153,Cash
O00265,27/09/2024,C0986,Cash
O00266,16/05/2024,C0943,Card
O00267,07/06/2024,C0940,Mobile Banking
O00268,22/09/2024,C0047,Mobile Banking
O00269,25/04/2024,C1355,Card
O00270,29/09/2024,C0156,Cash
O00271,23/01/2024,C1444,Cash
O00272,23/06/2024,C0670,Cash
O00273,25/05/2024,C1049,Card
O00274,15/12/2024,C1379,Cash
O00275,28/07/2024,C0576,Card
O00276,07/02/2024,C0857,Cash
O00277,11/10/2024,C0099,Cash
O00278,29/09/2024,C1083,Cash
O00279,11/01/2024,C1327,Cash
O00280,18/06/2024,C0811,Card
O00281,15/02/2024,C1222,Mobile Banking
O00282,22/05/2024,C0269,Cash
O00283,25/06/2024,C0744,Cash
O00284,29/02/2024,C0671,Cash
O00285,06/06/2024,C1392,Mobile Banking
O00286,24/01/2024,C0999,Mobile Banking
O00287,26/10/2024,C0121,Card
O00288,18/02/2024,C0014,Cash
O00289,29/12/2024,C1072,Card
O00290,12/05/2024,C0956,Cash
O00291,01/06/2024,C1457,Cash
O00292,05/01/2024,C0368,Cash
O00293,11/08/2024,C0762,Mobile Banking
O00294,25/11/2024,C0243,Card
O00295,28/09/2024,C0381,Card
O00296,13/08/2024,C0760,Card
O00297,13/12/2024,C1486,Cash
O00298,15/11/2024,C0290,Mobile Banking
O00299,11/10/2024,C0496,Card
O00300,07/04/2024,C1315,Mobile Banking
O00301,12/08/2024,C0630,Mobile Banking
O00302,01/01/2024,C1270,Card
O00303,31/03/2024,C0189,Cash
O00304,03/06/2024,C1381,Card
O00305,23/08/2024,C0600,Mobile Banking
O00306,10/02/2024,C1099,Mobile Banking
O00307,10/07/2024,C1035,Cash
O00308,30/01/2024,C0020,Mobile Banking
O00309,11/03/2024,C1187,Cash
O00310,05/01/2024,C1416,Mobile Banking
O00311,31/07/2024,C0949,Cash
O00312,15/07/2024,C1403,Mobile Banking
O00313,03/09/2024,C1360,Cash
O00314,23/09/2024,C0383,Card
O00315,10/01/2024,C0158,Mobile Banking
O00316,17/11/2024,C0128,Cash
O00317,11/03/2024,C0653,Mobile Banking
O00318,23/05/2024,C1423,Card
O00319,04/07/2024,C0365,Cash
O00320,10/09/2024,C0427,Card
O00321,20/12/2024,C0815,Cash
O00322,23/02/2024,C1099,Cash
O00323,21/05/2024,C1416,Cash
O00324,05/06/2024,C1341,Cash
O00325,18/11/2024,C0076,Cash
O00326,20/04/2024,C0223,Card
O00327,22/12/2024,C0983,Card
O00328,22/07/2024,C0313,Mobile Banking
O00329,02/04/2024,C1447,Cash
O00330,27/05/2024,C0550,Cash
O00331,02/01/2024,C0598,Cash
O00332,12/03/2024,C0226,Card
O00333,26/02/2024,C0531,Mobile Banking
O00334,22/02/2024,C1234,Card
O00335,03/03/2024,C1292,Mobile Banking
O00336,01/07/2024,C0852,Cash
O00337,25/06/2024,C0005,Cash
O00338,14/02/2024,C0949,Card
O00339,12/07/2024,C1285,Cash
O00340,20/08/2024,C0010,Cash
O00341,11/09/2024,C1128,Mobile Banking
O00342,05/02/2024,C0267,Cash
O00343,27/05/2024,C0354,Cash
O00344,08/01/2024,C1089,Mobile Banking
O00345,13/08/2024,C1342,Cash
O00346,05/05/2024,C1415,Card
O00347,30/10/2024,C1487,Cash
O00348,10/04/2024,C1014,Mobile Banking
O00349,23/07/2024,C0204,Card
O00350,27/11/2024,C0124,Cash
O00351,29/06/2024,C0413,Mobile Banking
O00352,12/05/2024,C0937,Cash
O00353,01/03/2024,C0505,Mobile Banking
O00354,31/10/2024,C0964,Card
O00355,16/11/2024,C0802,Card
O00356,27/12/2024,C1012,Cash
O00357,02/12/2024,C1261,Cash
O00358,28/09/2024,C0591,Card
O00359,30/01/2024,C1169,Card
O00360,02/07/2024,C0921,Card
O00361,24/03/2024,C0959,Card
O00362,14/11/2024,C1010,Mobile Banking
O00363,23/08/2024,C0022,Card
O00364,08/05/2024,C1052,Mobile Banking
O00365,03/01/2024,C0723,Cash
O00366,16/05/2024,C1463,Card
O00367,10/06/2024,C0124,Mobile Banking
O00368,19/11/2024,C1352,Cash
O00369,08/12/2024,C1242,Cash
O00370,20/06/2024,C0639,Cash
O00371,29/04/2024,C0137,Mobile Banking
O00372,04/08/2024,C0205,Cash
O00373,31/07/2024,C1184,Card
O00374,27/07/2024,C0393,Card
O00375,28/10/2024,C0169,Mobile Banking
O00376,23/01/2024,C0346,Cash
O00377,04/09/2024,C0557,Cash
O00378,26/02/2024,C0210,Card
O00379,12/12/2024,C1410,Card
O00380,15/11/2024,C0476,Mobile Banking
O00381,26/03/2024,C0618,Cash
O00382,26/10/2024,C1078,Mobile Banking
O00383,08/09/2024,C0336,Mobile Banking
O00384,25/03/2024,C0122,Cash
O00385,24/02/2024,C0929,Card
O00386,12/12/2024,C0033,Cash
O00387,11/04/2024,C1162,Mobile Banking
O00388,04/04/2024,C0469,Card
O00389,22/05/2024,C1151,Cash
O00390,30/06/2024,C1155,Cash
O00391,20/01/2024,C0981,Mobile Banking
O00392,11/10/2024,C0739,Mobile Banking
O00393,16/03/2024,C0586,Cash
O00394,14/10/2024,C0853,Cash
O00395,08/10/2024,C1394,Card
O00396,13/01/2024,C0807,Cash
O00397,04/01/2024,C0754,Card
O00398,04/09/2024,C1367,Cash
O00399,28/09/2024,C0276,Cash
O00400,05/11/2024,C0459,Mobile Banking
O00401,13/03/2024,C0260,Cash
O00402,29/12/2024,C0476,Mobile Banking
O00403,26/09/2024,C0750,Cash
O00404,12/05/2024,C1416,Card
O00405,21/10/2024,C0465,Mobile Banking
O00406,28/05/2024,C0824,Card
O00407,10/07/2024,C0650,Card
O00408,03/08/2024,C0076,Cash
O00409,16/01/2024,C1294,Cash
O00410,06/01/2024,C0643,Cash
O00411,04/02/2024,C1306,Cash
O00412,27/06/2024,C1468,Card
O00413,07/06/2024,C0960,Card
O00414,12/03/2024,C0154,Mobile Banking
O00415,12/11/2024,C0086,Card
O00416,05/09/2024,C1267,Cash
O00417,06/06/2024,C0678,Cash
O00418,04/12/2024,C0178,Cash
O00419,27/01/2024,C0169,Cash
O00420,09/12/2024,C1255,Mobile Banking
O00421,18/05/2024,C0648,Card
O00422,15/12/2024,C0810,Card
O00423,20/09/2024,C0594,Mobile Banking
O00424,25/02/2024,C0795,Mobile Banking
O00425,28/07/2024,C1216,Card
O00426,18/03/2024,C1257,Mobile Banking
O00427,04/02/2024,C0282,Mobile Banking
O00428,02/06/2024,C0201,Card
O00429,18/03/2024,C0684,Card
O00430,14/07/2024,C1300,Card
O00431,26/10/2024,C0910,Cash
O00432,18/01/2024,C0126,Card
O00433,24/01/2024,C0405,Card
O00434,17/01/2024,C0590,Mobile Banking
O00435,13/12/2024,C0034,Mobile Banking
O00436,06/06/2024,C1195,Cash
O00437,05/01/2024,C1267,Card
O00438,30/09/2024,C0348,Cash
O00439,16/02/2024,C0770,Card
O00440,23/08/2024,C0173,Cash
O00441,14/08/2024,C0157,Mobile Banking
O00442,15/01/2024,C0690,Mobile Banking
O00443,10/09/2024,C1342,Cash
O00444,19/08/2024,C0290,Mobile Banking
O00445,15/02/2024,C0724,Cash
O00446,12/01/2024,C1179,Cash
O00447,13/05/2024,C0116,Mobile Banking
O00448,09/11/2024,C0049,Mobile Banking
O00449,07/11/2024,C0952,Cash
O00450,11/06/2024,C0043,Cash
O00451,31/03/2024,C0321,Cash
O00452,16/08/2024,C0235,Mobile Banking
O00453,03/03/2024,C1029,Cash
O00454,20/12/2024,C1290,Cash
O00455,22/11/2024,C0679,Mobile Banking
O00456,04/09/2024,C1015,Cash
O00457,26/08/2024,C1023,Cash
O00458,20/06/2024,C1344,Card
O00459,28/01/2024,C0943,Cash
O00460,17/10/2024,C0640,Card
O00461,09/08/2024,C0308,Cash
O00462,02/01/2024,C0615,Card
O00463,29/03/2024,C1410,Cash
O00464,14/01/2024,C0259,Mobile Banking
O00465,05/07/2024,C1079,Card
O00466,12/11/2024,C0236,Cash
O00467,12/07/2024,C1292,Card
O00468,10/08/2024,C0497,Mobile Banking
O00469,08/11/2024,C1076,Card
O00470,01/05/2024,C0872,Mobile Banking
O00471,22/01/2024,C0863,Mobile Banking
O00472,15/05/2024,C0097,Card
O00473,12/11/2024,C0850,Mobile Banking
O00474,01/11/2024,C0909,Mobile Banking
O00475,26/10/2024,C1099,Mobile Banking
O00476,18/05/2024,C1360,Cash
O00477,02/11/2024,C0043,Cash
O00478,19/08/2024,C1445,Cash
O00479,29/12/2024,C0581,Card
O00480,06/09/2024,C0793,Cash
O00481,14/05/2024,C0773,Card
O00482,09/12/2024,C0935,Mobile Banking
O00483,28/10/2024,C0132,Mobile Banking
O00484,07/05/2024,C0656,Mobile Banking
O00485,11/10/2024,C0660,Mobile Banking
O00486,28/09/2024,C1297,Cash
O00487,12/09/2024,C0928,Card
O00488,26/08/2024,C0106,Card
O00489,08/09/2024,C1359,Cash
O00490,27/02/2024,C1418,Mobile Banking
O00491,21/06/2024,C1149,Mobile Banking
O00492,06/12/2024,C1347,Mobile Banking
O00493,01/11/2024,C0256,Card
O00494,13/09/2024,C1094,Cash
O00495,17/02/2024,C1446,Mobile Banking
O00496,26/01/2024,C1354,Card
O00497,13/12/2024,C0931,Card
O00498,29/05/2024,C1313,Card
O00499,07/08/2024,C0599,Mobile Banking
O00500,15/10/2024,C0209,Cash
O00501,21/08/2024,C0904,Cash
O00502,08/04/2024,C0676,Mobile Banking
O00503,12/10/2024,C1439,Card
O00504,26/07/2024,C0283,Mobile Banking
O00505,10/06/2024,C1489,Card
O00506,11/06/2024,C0636,Card
O00507,07/09/2024,C0486,Cash
O00508,27/08/2024,C1131,Mobile Banking
O00509,13/07/2024,C1300,Cash
O00510,16/03/2024,C1287,Cash
O00511,29/10/2024,C0502,Cash
O00512,30/08/2024,C0556,Cash
O00513,23/01/2024,C0357,Cash
O00514,16/09/2024,C0660,Cash
O00515,11/01/2024,C0306,Card
O00516,03/05/2024,C0313,Mobile Banking
O00517,22/03/2024,C0833,Card
O00518,21/01/2024,C0508,Card
O00519,16/05/2024,C0236,Mobile Banking
O00520,02/12/2024,C1421,Cash
O00521,29/03/2024,C0166,Cash
O00522,15/02/2024,C0092,Mobile Banking
O00523,16/10/2024,C1350,Card
O00524,10/04/2024,C0021,Card
O00525,24/02/2024,C0926,Card
O00526,04/10/2024,C1300,Cash
O00527,22/07/2024,C0742,Card
O00528,20/04/2024,C0536,Card
O00529,05/04/2024,C1473,Cash
O00530,27/11/2024,C1483,Card
O00531,07/11/2024,C0282,Cash
O00532,06/02/2024,C0227,Card
O00533,19/11/2024,C1271,Cash
O00534,08/02/2024,C0194,Mobile Banking
O00535,14/03/2024,C0754,Mobile Banking
O00536,24/11/2024,C1060,Mobile Banking
O00537,23/11/2024,C0956,Card
O00538,24/01/2024,C1350,Cash
O00539,26/01/2024,C0226,Cash
O00540,28/12/2024,C1026,Cash
O00541,24/09/2024,C1388,Cash
O00542,05/01/2024,C0564,Cash
O00543,13/11/2024,C1278,Mobile Banking
O00544,07/05/2024,C0685,Mobile Banking
O00545,01/09/2024,C1089,Mobile Banking
O00546,24/01/2024,C0170,Mobile Banking
O00547,20/11/2024,C1191,Card
O00548,11/02/2024,C1119,Card
O00549,06/07/2024,C0218,Mobile Banking
O00550,20/12/2024,C0019,Mobile Banking
O00551,13/10/2024,C0176,Card
O00552,11/02/2024,C0113,Card
O00553,17/05/2024,C1017,Card
O00554,15/11/2024,C0921,Mobile Banking
O00555,12/09/2024,C0408,Card
O00556,22/06/2024,C0038,Cash
O00557,11/06/2024,C0122,Cash
O00558,04/07/2024,C0293,Mobile Banking
O00559,09/06/2024,C0334,Mobile Banking
O00560,13/04/2024,C1123,Card
O00561,11/08/2024,C0145,Cash
O00562,04/12/2024,C1500,Card
O00563,26/02/2024,C0783,Mobile Banking
O00564,23/10/2024,C0106,Cash
O00565,11/09/2024,C0385,Mobile Banking
O00566,09/12/2024,C0199,Mobile Banking
O00567,17/02/2024,C0970,Cash
O00568,15/03/2024,C0358,Mobile Banking
O00569,29/08/2024,C0010,Mobile Banking
O00570,15/12/2024,C1259,Mobile Banking
O00571,22/11/2024,C1437,Card
O00572,05/01/2024,C0888,Card
O00573,27/05/2024,C0558,Cash
O00574,28/01/2024,C1132,Cash
O00575,29/04/2024,C0493,Card
O00576,01/02/2024,C0141,Card
O00577,27/12/2024,C1099,Mobile Banking
O00578,05/12/2024,C1016,Card
O00579,10/08/2024,C0948,Mobile Banking
O00580,25/09/2024,C0166,Cash
O00581,23/08/2024,C1313,Cash
O00582,23/05/2024,C0543,Cash
O00583,11/01/2024,C0394,Mobile Banking
O00584,19/03/2024,C1274,Mobile Banking
O00585,09/10/2024,C1313,Mobile Banking
O00586,06/07/2024,C0127,Card
O00587,05/11/2024,C0556,Card
O00588,27/02/2024,C0239,Mobile Banking
O00589,15/04/2024,C0638,Mobile Banking
O00590,17/07/2024,C1429,Cash
O00591,30/06/2024,C0239,Cash
O00592,18/03/2024,C0473,Card
O00593,24/08/2024,C0701,Card
O00594,06/10/2024,C0148,Cash
O00595,29/07/2024,C0135,Mobile Banking
O00596,26/11/2024,C0305,Card
O00597,15/01/2024,C0618,Mobile Banking
O00598,13/04/2024,C0694,Card
O00599,10/07/2024,C0791,Cash
O00600,18/01/2024,C0992,Cash
O00601,17/09/2024,C1059,Mobile Banking
O00602,16/01/2024,C0845,Cash
O00603,14/11/2024,C1431,Mobile Banking
O00604,15/04/2024,C1093,Mobile Banking
O00605,04/09/2024,C0750,Cash
O00606,31/07/2024,C1438,Card
O00607,27/04/2024,C0827,Mobile Banking
O00608,26/05/2024,C0203,Mobile Banking
O00609,30/04/2024,C1366,Mobile Banking
O00610,13/11/2024,C0325,Card
O00611,10/06/2024,C1462,Card
O00612,14/04/2024,C0810,Mobile Banking
O00613,24/09/2024,C0385,Cash
O00614,21/07/2024,C1169,Mobile Banking
O00615,05/06/2024,C1172,Cash
O00616,22/03/2024,C0406,Cash
O00617,03/07/2024,C1306,Card
O00618,02/06/2024,C0516,Mobile Banking
O00619,01/12/2024,C0229,Mobile Banking
O00620,15/08/2024,C1452,Card
O00621,04/02/2024,C0681,Mobile Banking
O00622,22/09/2024,C0281,Mobile Banking
O00623,26/06/2024,C0380,Card
O00624,17/08/2024,C0037,Cash
O00625,21/08/2024,C0946,Cash
O00626,14/03/2024,C1417,Cash
O00627,08/02/2024,C1279,Card
O00628,16/05/2024,C0582,Card
O00629,14/10/2024,C0333,Mobile Banking
O00630,09/12/2024,C0726,Cash
O00631,24/11/2024,C1043,Card
O00632,31/08/2024,C0219,Card
O00633,12/10/2024,C0236,Mobile Banking
O00634,09/06/2024,C0532,Card
O00635,12/12/2024,C0856,Mobile Banking
O00636,05/07/2024,C0906,Card
O00637,27/03/2024,C1102,Cash
O00638,31/01/2024,C0143,Card
O00639,12/02/2024,C0339,Mobile Banking
O00640,03/01/2024,C0752,Mobile Banking
O00641,26/10/2024,C1244,Cash
O00642,10/02/2024,C0669,Mobile Banking
O00643,13/07/2024,C0696,Cash
O00644,09/07/2024,C0378,Mobile Banking
O00645,20/11/2024,C0117,Mobile Banking
O00646,12/08/2024,C1248,Cash
O00647,02/07/2024,C0571,Mobile Banking
O00648,27/11/2024,C0254,Card
O00649,21/09/2024,C0756,Cash
O00650,05/08/2024,C0983,Cash
O00651,15/06/2024,C0298,Card
O00652,05/06/2024,C0096,Mobile Banking
O00653,23/01/2024,C0108,Mobile Banking
O00654,08/02/2024,C1303,Card
O00655,07/09/2024,C0306,Mobile Banking
O00656,02/03/2024,C0196,Mobile Banking
O00657,30/12/2024,C0245,Cash
O00658,05/11/2024,C0098,Cash
O00659,14/10/2024,C0352,Mobile Banking
O00660,20/08/2024,C0932,Cash
O00661,08/05/2024,C1253,Mobile Banking
O00662,25/10/2024,C0734,Cash
O00663,13/11/2024,C0424,Cash
O00664,22/10/2024,C0306,Card
O00665,01/06/2024,C1275,Mobile Banking
O00666,09/02/2024,C1165,Mobile Banking
O00667,29/11/2024,C1277,Card
O00668,17/07/2024,C0884,Mobile Banking
O00669,22/08/2024,C1193,Cash
O00670,03/02/2024,C1203,Card
O00671,17/11/2024,C0982,Mobile Banking
O00672,05/03/2024,C1321,Card
O00673,14/06/2024,C1245,Mobile Banking
O00674,08/06/2024,C1353,Cash
O00675,15/05/2024,C0369,Cash
O00676,31/07/2024,C0603,Mobile Banking
O00677,25/02/2024,C1365,Mobile Banking
O00678,07/12/2024,C0186,Card
O00679,20/01/2024,C1069,Cash
O00680,11/09/2024,C0342,Mobile Banking
O00681,08/05/2024,C0364,Mobile Banking
O00682,26/10/2024,C0085,Cash
O00683,01/08/2024,C1400,Mobile Banking
O00684,24/09/2024,C0547,Cash
O00685,22/11/2024,C0726,Card
O00686,30/01/2024,C0152,Cash
O00687,18/02/2024,C1293,Cash
O00688,16/10/2024,C1276,Mobile Banking
O00689,18/10/2024,C0523,Card
O00690,30/07/2024,C0727,Mobile Banking
O00691,03/07/2024,C1016,Card
O00692,11/02/2024,C1346,Card
O00693,20/08/2024,C1363,Card
O00694,01/02/2024,C1468,Card
O00695,12/01/2024,C0892,Mobile Banking
